City_Region,ZIP,Population_2021,Median_Household_Income,Percent_Household_Income_Greater_than_100000,Per_Capita_Income,Population_Male,Population_Female,Projected_Population_2026,Employed,Housing_units,Percent_Housing_Occupied,Percent_Family_households,Percent_Never_married,Education_Bachelors_degree
 Stockbridge,30281,67836,60447.22,0.2566,27720.74,0.4872,0.5128,66767,0.6783,27014,0.9189,0.7143,0.3697,0.285
 Sunny Side,30284,135,60478.69,0,10225.26,0.4593,0.5259,200,0.5441,34,1,0.8824,0.2794,0.1887
 The Rock,30285,846,34011.52,0.0712,23386.6,0.4835,0.5154,1199,0.5822,309,1,0.4304,0.2945,0.1244
 Thomaston,30286,21274,35965.41,0.1658,22098.95,0.4749,0.525,19499,0.5279,10337,0.8307,0.5349,0.3238,0.1533
 Conley,30288,8868,55074.32,0.1591,23123.15,0.4904,0.5095,8502,0.6045,3687,0.9425,0.533,0.4252,0.2007
 Turin,30289,176,126612.3,0.7143,33850.64,0.5227,0.4716,273,0.8926,44,0.9545,1,0.3053,0.2308
 Tyrone,30290,8756,103736.36,0.5288,42971.7,0.4978,0.5021,8757,0.6887,3375,0.8948,0.8927,0.1819,0.577
 Union City,30291,21112,41864.44,0.1403,20431.19,0.4577,0.5423,20450,0.7103,9828,0.8785,0.5767,0.4676,0.1348
 Williamson,30292,5230,63480.37,0.3237,24757.99,0.4581,0.5417,4092,0.59,1749,0.9257,0.79,0.2659,0.159
 Woodbury,30293,2735,31453.64,0.1093,20907.2,0.5185,0.4812,2539,0.4356,1578,0.7655,0.5041,0.3609,0.0903
 Ellenwood,30294,43061,65950.48,0.2556,27980.51,0.469,0.531,45251,0.6725,15369,0.9369,0.738,0.4066,0.261
 Zebulon,30295,4275,56302.74,0.2305,23594.67,0.4735,0.5261,4306,0.5378,1670,0.912,0.5968,0.3274,0.1384
 Riverdale,30296,29196,57564.94,0.181,23805.61,0.458,0.5419,30542,0.6585,10064,0.9261,0.7158,0.4514,0.2198
 Forest Park,30297,29406,36517.12,0.0675,16159.64,0.4716,0.5284,31103,0.5646,10894,0.9055,0.6436,0.4887,0.0952
 Atlanta,30303,6919,20635,0.1412,11723.09,0.5382,0.4618,7339,0.4115,1641,0.8678,0.0857,0.8579,0.2325
 Atlanta,30305,25532,103920.23,0.5324,101244.15,0.5142,0.4858,28079,0.7204,15618,0.8622,0.3781,0.3919,0.762
 Atlanta,30306,25233,111758.56,0.5694,86380.38,0.5117,0.4883,27760,0.7794,12065,0.9075,0.4566,0.4428,0.8555
 Atlanta,30307,20790,107348.09,0.5965,72656.3,0.4632,0.5368,22456,0.7737,10177,0.8944,0.5662,0.3868,0.7568
 Atlanta,30308,19545,67819.56,0.3767,59694.99,0.5437,0.4562,21818,0.7875,14130,0.8748,0.1676,0.6388,0.7191
 Atlanta,30309,28301,93762.45,0.4938,89648.86,0.5075,0.4925,33757,0.7983,20548,0.8029,0.3319,0.4931,0.7994
 Atlanta,30310,29014,34545.03,0.1427,23572.53,0.459,0.541,28198,0.6801,15271,0.7832,0.4789,0.5901,0.267
 Atlanta,30311,36796,31424.86,0.1281,23206.09,0.446,0.554,37209,0.5769,18726,0.8107,0.4714,0.5197,0.2196
 Atlanta,30312,24754,58173.99,0.3406,43822.44,0.4713,0.5286,27363,0.7516,14266,0.8773,0.3512,0.5507,0.57
 Atlanta,30313,11866,62359.04,0.2387,18513.55,0.6079,0.392,12637,0.4136,2833,0.8253,0.2596,0.8713,0.4062
 Atlanta,30314,25899,27983.37,0.0782,14029.22,0.4403,0.5596,27903,0.4826,11039,0.6924,0.454,0.7008,0.2099
 Atlanta,30315,36626,30899.83,0.1279,22631,0.4726,0.5274,39208,0.5951,15934,0.8307,0.4723,0.5801,0.2316
 Atlanta,30316,34911,74487.82,0.4468,43733.71,0.5055,0.4944,37692,0.7518,16305,0.8562,0.5171,0.4803,0.4979
 Atlanta,30317,14644,82224.4,0.4816,44595.22,0.4421,0.5578,16145,0.7454,6986,0.8444,0.5986,0.3765,0.574
 Atlanta,30318,58866,52559.93,0.2767,35565.05,0.5342,0.4657,67684,0.6441,27654,0.8367,0.4318,0.5876,0.4721
 Atlanta,30319,44800,106407.89,0.5552,74754.44,0.5083,0.4917,49648,0.7481,22483,0.9178,0.5124,0.3284,0.7807
 Atlanta,30322,2771,,0,3835.81,0.4453,0.5543,2687,0.3464,0,0,0,0.9949,0.2
 Atlanta,30324,27455,75022.96,0.3976,61424.65,0.4932,0.5067,28097,0.7942,16775,0.899,0.2919,0.6268,0.7702
 Atlanta,30326,6880,86336.76,0.4445,87809.39,0.4376,0.5624,8146,0.7975,6212,0.7225,0.2295,0.5213,0.761
 Atlanta,30327,22511,156748.94,0.6698,117671.64,0.4899,0.51,21808,0.6135,10772,0.8705,0.6696,0.2197,0.8523
 Atlanta,30328,40359,90899.84,0.5051,60545.83,0.4747,0.5253,45108,0.7181,19421,0.9322,0.5112,0.3306,0.7524
 Atlanta,30329,28284,58594.07,0.2881,36921.89,0.4628,0.5372,28346,0.7697,12918,0.8801,0.3882,0.5483,0.5406
 Atlanta,30331,68978,48378.88,0.2096,27143.9,0.4334,0.5666,75124,0.6184,28089,0.9063,0.5678,0.5257,0.3147
 Atlanta,30332,2842,,0,2419.87,0.5081,0.4916,2381,0.1875,0,0,0,0.9996,0.56
 Atlanta,30334,0,,0,,0,0,0,0,0,0,0,0,0
 Atlanta,30336,75,12834.23,0.0909,47890.53,0,1,0,0.4022,23,0.9565,0,0.7125,0.4459
 Atlanta,30337,14600,36749.03,0.1491,26042.58,0.4653,0.5346,15910,0.6724,6774,0.8485,0.4859,0.5164,0.2937
 Atlanta,30338,36994,106152.08,0.5652,58691.52,0.4751,0.5249,39743,0.6602,16162,0.9355,0.6616,0.2024,0.7779
 Atlanta,30339,25335,84584.28,0.439,66974.51,0.4683,0.5317,28904,0.7979,15265,0.8821,0.4121,0.4624,0.723
